,Simulation,Inhibitory LFP included?,External input rate,g_in/g_ex ratio,Hurst exponent from BOLD signal
0,Sim4,True,2.0,13.409410112357872,1.6218428965257676
1,Sim4,True,2.0,9.3792595321504,1.5019578207762845
2,Sim4,True,2.0,6.333595920236343,1.4323016556369241
3,Sim4,True,2.0,4.032905296950241,1.5068489888078092
0,merged_files_sim1_sim2,True,2.0,13.409410112357872,1.4037835100305354
1,merged_files_sim1_sim2,True,2.0,9.3792595321504,1.349326350994799
2,merged_files_sim1_sim2,True,2.0,6.333595920236343,1.1650935813239456
0,merged_files_sim1_sim3,True,2.0,13.409410112357872,1.3749983531136198
1,merged_files_sim1_sim3,True,2.0,9.3792595321504,1.2230810576506916
2,merged_files_sim1_sim3,True,2.0,6.333595920236343,1.114834344867294
0,merged_files_Sim2_Sim3,True,2.0,13.409410112357872,1.2077255792396318
1,merged_files_Sim2_Sim3,True,2.0,9.3792595321504,1.1704057666405825
2,merged_files_Sim2_Sim3,True,2.0,6.333595920236343,1.1465930718696895
0,merged_files_Sim1_Sim3,True,2.0,13.409410112357872,1.3749983531136198
1,merged_files_Sim1_Sim3,True,2.0,9.3792595321504,1.2230810576506916
2,merged_files_Sim1_Sim3,True,2.0,6.333595920236343,1.114834344867294
